Source Sentence,Target Sentence
Article 6,Article 6
"The Contracting Parties shall forward to one another, through the Secretary-General of the Council of Europe, a list of the national and/or regional reference laboratories empowered to issue certificates as provided in Article 4 of the Agreement and to distribute imported tissue-typing reagents.","Les parties contractantes se communiqueront , par l'entremise du secrétaire général du Conseil de l'Europe , la liste des laboratoires de référence nationaux et/ou régionaux habilités à établir le certificat prévu à l'article 4 du présent accord et à distribuer les réactifs de groupage tissulaire importés ."
Article 7,Article 7
"1. This Agreement shall be open to signature by the Member States of the Council of Europe, who may become parties to it either by: (a) signature without reservation in respect of ratification or acceptance, or",
"(b) signature with reservation in respect of ratification or acceptance, followed by ratification or acceptance.",
2. Instruments of ratification or acceptance shall be deposited with the Secretary-General of the Council of Europe.,2 . Les instruments de ratification ou d'acceptation seront déposés près le secrétaire général du Conseil de l'Europe .
Article 8,Article 8
"1. This Agreement shall enter into force one month after the date on which three Member States of the Council shall have become Parties to the Agreement, in accordance with the provisions of Article 7.","1 . Le présent accord entrera en vigueur un mois après la date à laquelle trois Etats membres du Conseil seront devenus parties à l'accord , conformément aux dispositions de l'article 7 ."
"2. As regards any Member State who shall subsequently sign the Agreement without reservation in respect of ratification or acceptance or who shall ratify or accept it, the Agreement shall enter into force one month after the date of such signature or after the date of deposit of the instrument of ratification or acceptance.","2 . Pour tout Etat membre qui le signera ultérieurement sans réserve de ratification ou d'acceptation ou le ratifiera ou l'acceptera , l'accord entrera en vigueur un mois après la date de la signature ou du dépôt de l'instrument de ratification ou d'acceptation ."
Article 9,Article 9
"1. After the entry into force of this Agreement, the Committee of Ministers of the Council of Europe may invite any non-member State to accede thereto.","1 . Après l'entrée en vigueur du présent accord , le comité des ministres du Conseil de l'Europe pourra inviter tout Etat non membre du Conseil à y adhérer ."
2. Such accession shall be effected by depositing with the Secretary-General of the Council of Europe an instrument of accession which shall take effect one month after the date of its deposit.,"2 . L'adhésion s'effectuera par le dépôt , près le secrétaire général du Conseil de l'Europe , d'un instrument d'adhésion qui prendra effet un mois après la date de son dépôt ."
Article 10,Article 10
"1. Any Contracting Party may at the time of signature or when depositing its instrument of ratification, acceptance of accession, specify the territory or territories to which this Agreement shall apply.","1 . Toute partie contractante peut , au moment de la signature ou au moment du dépôt de son instrument de ratification , d'acceptation ou d'adhésion , désigner le ou les territoires auxquels s'appliquera le présent accord ."
"2. Any Contracting Party may, when depositing its instrument of ratification, acceptance or accession or at any later date, by declaration addressed to the Secretary-General of the Council of Europe, extend this Agreement to any other territory or territories specified in the declaration and for whose international relations it is responsible or on whose behalf it is authorized to give undertakings.","2 . Toute partie contractante peut , au moment du dépôt de son instrument de ratification , d'acceptation ou d'adhésion ou à tout autre moment par la suite , étendre l'application du présent accord par déclaration adressée au secrétaire général du Conseil de l'Europe , à tout autre territoire désigné dans la déclaration et dont elle assure les relations internationales ou pour lequel elle est habilitée à stipuler ."
"3. Any declaration made in pursuance of the preceding paragraph may, in respect of any territory mentioned in such declaration, be withdrawn according to the procedure laid down in Article 11 of this Agreement.","3 . Toute déclaration faite en vertu du paragraphe précédent pourra être retirée , en ce qui concerne tout territoire désigné dans cette déclaration , aux conditions prévues par l'article 11 du présent accord ."
Article 11,Article 11
"1. Any Contracting Party may, in so far as it is concerned, denounce this Agreement by means of a notification adressed to the Secretary-General of the Council of Europe.","1 . Toute partie contractante pourra , en ce qui la concerne , dénoncer le présent accord en adressant une notification au secrétaire général du Conseil de l'Europe ."
2. Such denunciation shall take effect six months after the date of receipt by the Secretary-General of such notification.,2 . La dénonciation prendra effet six mois après la date de réception de la notification par le secrétaire général .
Article 12,Article 12
"The Secretary-General of the Council of Europe shall notify the Member States of the Council and any State which has acceded to this Agreement, of: (a) any signature without reservation in respect of ratification or acceptance;",
(b) any signature with reservation in respect of ratification or acceptance;,b ) toute signature avec réserve de ratification ou d'acceptation ;
"(c) the deposit of any instrument of ratification, acceptance or accession;","c ) le dépôt de tout instrument de ratification , d'acceptation ou d'adhésion ;"
(d) any date of entry into force of this Agreement in accordance with Article 8 thereof;,d ) toute date d'entrée en vigueur du présent accord en application des dispositions de l'article 8 ;
(e) any declaration received in pursuance of the provisions of paragraphs 2 and 3 of Article 10;,e ) toute déclaration reçue en application des dispositions des paragraphes 2 et 3 de l'article 10 ;
(f) any notification received in pursuance of the provisions of Article 11 and the date on which denunciation takes effect;,"f ) toute notification reçue en application des dispositions de l'article 11 , et la date à laquelle la dénonciation prend effet ;"
(g) any amendment of or supplement to the Protocol and its Annex under Article 4 (4) of this Agreement.,g ) tout amendement ou complément au protocole et à son annexe aux termes du paragraphe 4 de l'article 4 du présent accord .
SUPPLEMENTARY PROTOCOL to the Agreement between the European Economic Community and the Republic of Iceland,PROTOCOLE COMPLÉMENTAIRE à l'accord entre la Communauté économique européenne et la république d'Islande
"THE EUROPEAN ECONOMIC COMMUNITY,","LA COMMUNAUTÉ ÉCONOMIQUE EUROPÉENNE,"
"of the one part, and,","d'une part,"
"THE REPUBLIC OF ICELAND,","LA RÉPUBLIQUE D'ISLANDE,"
"of the other part,","d'autre part,"
HAVE AGREED to make the following amendments to their Agreement of 22 July 1972:,SONT CONVENUES d'apporter les modifications suivantes à leur accord du 22 juillet 1972:
Article 1,Article premier
"The text of the Agreement shall be amended as follows: 1. Article 3 (4), first and second subparagraphs : the words %quot%Protocol No 1%quot% shall be replaced by the words %quot%Protocols No 1 and No 2%quot% ; Article 3 (4), second subparagraph : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","Le texte de l'accord est modifié comme suit: 1. à l'article 3 paragraphe 4 premier alinéa, les mots «au protocole nº 1» sont remplacés par les mots «aux protocoles nºs 1 et 2» ; au deuxième alinéa de ce même paragraphe le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord» ; et les mots «le protocole nº 1» sont remplacés par les mots «les protocoles nºs 1 et 2»;"
2. Article 4 (2) and Article 5 (3) : the word %quot%Norway%quot% shall be deleted.,"2. à l'article 4 paragraphe 2 et à l'article 5 paragraphe 3 les mots «, de la Norvège et la Norvège», respectivement, sont supprimés;"
"3. Article 5 (3) : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","3. à l'article 5 paragraphe 3 le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»;"
"4. Article 37, first paragraph : the words %quot%Icelandic, Italian and Norwegian%quot% shall be replaced by the words %quot%Icelandic and Italian%quot%.","4. à l'article 37 premier alinéa, les mots «italienne, néerlandaise et norvégienne» sont remplacés par les mots «italienne et néerlandaise»;"
"5. The following shall be deleted from the end of the Agreement: - %quot%Utferdiget i Brussel, tjueandre juli nitten hundre og syttito%quot%,",
- %quot%For Rådet for de Europeiske Fellesskap%quot%.,- «For Rådet for De Europeiske Fellesskap».
Article 2,Article 2
Protocol No 1 shall be amended as follows: 1. Article 1 (3) and (4) and Article 3 (f) (i) : the word %quot%Norway%quot% shall be deleted.,"Le texte du protocole nº 1 est modifié comme suit: 1. à l'article 1er paragraphes 3 et 4 et à l'article 3 point f) deuxième alinéa premier tiret, les mots «, la Norvège» sont supprimés;"
2. Annex A : the word %quot%NORWAY%quot% shall be deleted from the title and the column headed %quot%Norway%quot% shall be deleted.,"2. à l'annexe A sont supprimés le mot «NORVÈGE,» dans le titre et la colonne «Norvège»."
Article 3,Article 3
"Protocol No 2 shall be amended as follows: 1. Article 2 (1) (b), first line, and (b) (i), second indent : the word %quot%Norway%quot% shall be deleted.","Le texte du protocole nº 2 est modifié comme suit: 1. à l'article 2 paragraphe 1 point b) in limine et sous i) deuxième tiret, les mots «, la Norvège» sont supprimés;"
"2. Article 2 (1) (b) (i), and Article 2 (3) : the following phrase shall be deleted : drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland'.","2. à l'article 2 paragraphe 1 point b) sous i) et paragraphe 3, le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»;"
3. Article 2 (1) (c) (ii) : the word %quot%Norway%quot% shall be deleted.,"3. à l'article 2 paragraphe 1 point c) sous ii) les mots «, de la Norvège» sont supprimés."
Article 4,Article 4
Protocol No 3 shall be amended as follows: 1. The following shall be substituted for the first part of Article 2 (1):,Le texte du protocole nº 3 est modifié comme suit: 1. l'article 2 paragraphe 1 in limine est remplacé par le texte suivant:
"%quot% 1. Inasmuch as trade between the Community and Austria, Finland, Norway, Portugal, Sweden and Switzerland and between Iceland and the latter six countries and also between each of those six countries themselves is governed by rules identical to those in this Protocol, the following products shall also be considered as:","« 1. Dans la mesure où les échanges effectués entre la Communauté ou l'Islande, d'une part, l'Autriche, la Finlande, la Norvège, le Portugal, la Suède et la Suisse, d'autre part, ainsi qu'entre l'un ou l'autre de ces six pays, sont régis par des accords contenant des règles identiques à celles du présent protocole, sont également considérés:"
%quot%.,»;
"2. Article 2 (1) (A), 2 (1) (A) (a), (1) (B) and (1) (B) (a) : the words %quot%six countries%quot% shall be substituted for the words %quot%five countries%quot%.","2. à l'article 2 paragraphe 1 point A in limine et sous a) ainsi que point B in limine et sous a), les mots «cinq pays» sont remplacés par les mots «six pays»;"
3. Article 7 : the word %quot%Norway%quot% shall be inserted between the words %quot%Finland%quot% and %quot%Portugal%quot%.,"3. à l'article 7, les mots «de la Norvège,» sont insérés entre les mots «de la Finlande,» et «du Portugal»;"
4. The following shall be substituted for Article 23 (2) and (3):,4. le texte de l'article 23 paragraphes 2 et 3 est remplacé par le texte suivant:
,"«2. Sans préjudice des dispositions de l'article 1er du protocole nº 2, lorsqu'un certificat de circulation des marchandises est délivré par les autorités douanières du Danemark ou du Royaume-Uni en vue d'obtenir en Islande le bénéfice des dispositions tarifaires en vigueur en Islande et visées à l'article 3 paragraphe 1 et à l'article 4 de l'accord, les produits importés et mis en oeuvre au Danemark ou au Royaume-Uni ne peuvent, dans ces deux derniers pays, faire l'objet de ristourne de droits de douane ou bénéficier d'une exonération des droits de douane, sous quelque forme que ce soit, que s'il s'agit de produits visés à l'article 25 paragraphe 1 du présent protocole."
"%quot% 3. Without prejudice to Article 1 of Protocol No 2, no drawback or remission of any kind may be granted from customs duties in Iceland in respect of imported goods used in the manufacture of products for which a movement certificate is issued by the customs authorities of Iceland for the purpose of benefiting in Denmark or the United Kingdom from the tariff provisions in force in these two countries and covered by Article 3 (1) and Article 4 of the Agreement. This rule does not, however, apply where the goods used are those referred to in Article 25 (1) of this Protocol.","« 3. Sans préjudice des dispositions de l'article 1er du protocole nº 2, lorsqu'un certificat de circulation des marchandises est délivré par les autorités douanières de l'Islande en vue d'obtenir au Danemark ou au Royaume-Uni le bénéfice des dispositions tarifaires en vigueur dans ces deux pays et visées à l'article 3 paragraphe 1 et à l'article 4 de l'accord, les produits importés et mis en oeuvre en Islande ne peuvent, en Islande, faire l'objet de ristourne de droits de douane ou bénéficier d'une exonération des droits de douane, sous quelque forme que ce soit, que s'il s'agit de produits visés à l'article 25 paragraphe 1 du présent protocole."
%quot%,»;
5. Article 24 (2) : the word %quot%Norway%quot% shall be deleted from (iii) and the words %quot%five countries%quot% in (v) shall be replaced by the words %quot%six countries%quot%.,"5. à l'article 24 paragraphe 2 troisième tiret, les mots «la Norvège,» sont supprimés et, au cinquième tiret de ce même paragraphe, les mots «cinq pays» sont remplacés par les mots «six pays»;"
6. Article 25 (1) as last amended by Decision No 9/73 of the Joint Committee : the words %quot%five countries%quot% shall be replaced by the words %quot%six countries%quot% in (a) and (b)(2).,"6. à l'article 25 paragraphe 1, tel qu'il a été modifié en dernier lieu par la décision 9/73 du comité mixte, les mots «cinq autres pays» sont remplacés par les mots «six autres pays» au point a) et au point b) sous 2;"
7. Article 26 : the word %quot%Norway%quot% shall be inserted between the words %quot%Finland%quot% and %quot%Portugal%quot%.,"7. à l'article 26, les mots «la Norvège,» sont insérés entre les mots «la Finlande,» et «le Portugal»;"
8. Article 27 (1) and (2) : the words %quot%five countries%quot% shall be replaced by the words %quot%six countries%quot%.,"8. à l'article 27 paragraphes 1 et 2, les mots «cinq pays» sont remplacés par les mots «six pays»;"
9. Annex I : the word %quot%Norway%quot% shall be deleted from Explanatory Notes 10 and 13.,"9. à l'annexe I, les mots «, en Norvège» sont supprimés dans les notes explicatives 10 et 13."
Article 5,Article 5
"Protocol No 5 : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","Dans le protocole nº 5, le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»."
Article 6,Article 6
"Protocol No 6, shall be amended as follows: 1. Article 1 (2) : the words %quot%and Norway%quot% shall be deleted from the last column of the second and third tables.","Le protocole nº 6 est modifié comme suit: 1. à l'article 1er paragraphe 2, les mots «et en Norvège» sont supprimés dans la dernière colonne des deuxième et troisième tableaux;"
2. Article 1 (3) : the word %quot%Norway%quot% shall be deleted from the last column of the second table.,"2. à l'article 1er paragraphe 3, les mots «, en Norvège» sont supprimés dans la dernière colonne du deuxième tableau."
Article 7,Article 7
The following shall be deleted from the Final Act: - %quot%,"Dans l'acte final, les formules suivantes sont supprimées: - «"
SUPPLEMENTARY PROTOCOL to the Agreement between the European Economic Community and the Swiss Confederation,PROTOCOLE COMPLÉMENTAIRE à l'accord entre la Communauté économique européenne et la Confédération suisse
"THE EUROPEAN ECONOMIC COMMUNITY,","LA COMMUNAUTÉ ÉCONOMIQUE EUROPÉENNE,"
"of the one part, and,","d'une part,"
"THE SWISS CONFEDERATION,","LA CONFÉDÉRATION SUISSE,"
"of the other part,","d'autre part,"
HAVE AGREED to make the following amendments to their Agreement of 22 July 1972:,SONT CONVENUES d'apporter les modifications suivantes à leur accord du 22 juillet 1972:
Article 1,Article premier
The text of the Agreement shall be amended as follows: 1. Article 4 (2) : the word %quot%Norway%quot% shall be deleted.,"Le texte de l'accord est modifié comme suit: 1. à l'article 4 paragraphe 2, les mots «, la Norvège» sont supprimés;"
"2. Article 4 (2) and Article 5 (3), second subparagraph : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","2. à l'article 4 paragraphe 2 et à l'article 5 paragraphe 3 deuxième alinéa, le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»;"
"3. Article 5 (3), first and second subparagraphs : the words %quot%Protocol No 1%quot% shall be replaced by the words %quot%Protocols No 1 and No 2%quot%.","3. à l'article 5 paragraphe 3 premier alinéa, les mots «au protocole nº 1» sont remplacés par les mots «aux protocoles nºs 1 et 2» et, au deuxième alinéa de ce même paragraphe, les mots «le protocole nº 1» sont remplacés par les mots «les protocoles nºs 1 et 2»;"
"4. Article 36, first paragraph : the words %quot%German, Italian, and Norwegian languages%quot% shall be replaced by the words %quot%German and Italian languages%quot%.","4. à l'article 36 premier alinéa, les mots «italienne, néerlandaise et norvégienne» sont remplacés par les mots «italienne et néerlandaise»;"
"5. The following shall be deleted from the end of the Agreement: - %quot%Utferdiget i Brussel, tjueandre juli nitten hundre og syttito%quot%,","5. à la fin de l'accord, les formules suivantes sont supprimées: - «Utferdiget i Brussel, tjueandre juli nitten hundre og syttito.»,"
- %quot%for Rådet for De Europeiske Fellesskap%quot%.,- «For Rådet for de Europeiske Fellesskap».
Article 2,Article 2
Protocol No 1 shall be amended as follows: 1. Article 1 (3) and (4) and Article 3 (f) (i) : the word %quot%Norway%quot% shall be deleted.,"Le texte du protocole nº 1 est modifié comme suit: 1. à l'article 1er paragraphes 3 et 4 et à l'article 3 point f) deuxième alinéa premier tiret, les mots «, la Norvège» sont supprimés;"
2. Article 5 (3) : the word %quot%Norway%quot% shall be deleted.,"2. à l'article 5 paragraphe 3, les mots «, de la Norvège» sont supprimés;"
3. Annex A : the word %quot%NORWAY%quot% shall be deleted from the title and the column headed %quot%Norway%quot% shall be deleted.,"3. à l'annexe A sont supprimés le mot «NORVÈGE,» dans le titre et la colonne «Norvège»."
Article 3,Article 3
"Protocol No 2 shall be amended as follows: 1. Article 2 (1) (b), first line, and (b) (i), second indent : the word %quot%Norway%quot% shall be deleted.","Le texte du protocole nº 2 est modifié comme suit: 1. à l'article 2 paragraphe 1 point b) in limine et sous i) deuxième tiret, les mots «, la Norvège» sont supprimés;"
"2. Article 2 (1) (b) (i) and Article 2 (3) : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","2. à l'article 2 paragraphe 1 point b) sous i) et paragraphe 3, le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»."
Article 4,Article 4
Protocol No 3 shall be amended as follows: 1. The following shall be substituted for the first part of Article 2 (1):,Le texte du protocole nº 3 est modifié comme suit: 1. l'article 2 paragraphe 1 in limine est remplacé par le texte suivant:
"%quot% 1. Inasmuch as trade between the Community and Austria, Finland, Iceland, Norway, Portugal and Sweden and between Switzerland and the latter six countries and also between each of those six countries themselves is governed by rules identical to those in this Protocol, the following products shall also be considered as :","« 1. Dans la mesure où les échanges effectués entre la Communauté ou la Suisse, d'une part, l'Autriche, la Finlande, l'Islande, la Norvège, le Portugal et la Suède, d'autre part, ainsi qu'entre l'un ou l'autre de ces six pays, sont régis par des accords contenant des règles identiques à celles du présent protocole, sont également considérés:"
%quot%.,»;
"2. Article 2 (1) (A), (1) (A) (a), (1) (B) and (1) (B) (a) : the words %quot%six countries%quot% shall be substituted for the words %quot%five countries%quot%.","2. à l'article 2 paragraphe 1 point A in limine et sous a) ainsi que point B in limine et sous a), les mots «cinq pays» sont remplacés par les mots «six pays»;"
3. Article 7 : the word %quot%Norway%quot% shall be inserted between the words %quot%Iceland%quot% and %quot%Portugal%quot%.,"3. à l'article 7, les mots «de la Norvège,» sont insérés entre les mots «de l'Islande,» et «du Portugal»;"
"4. The following shall be substituted for Article 23 (2) and (3): %quot% 2. Without prejudice to Article 1 of Protocol No 2, no drawback or remission of any kind may be granted from customs duties in Denmark or the United Kingdom in respect of imported goods used in the manufacture of products for which a movement certificate is issued by the customs authorities of either of these two countries for the purpose of benefiting in Switzerland from the tariff provisions in force in Switzerland and covered by Article 3 (1) of the Agreement. This rule does not, however, apply where the goods used are those referred to in Article 25 (1) of this Protocol.",
"3. Without prejudice to Article 1 of Protocol No 2, no drawback or remission of any kind may be granted from customs duties in Switzerland in respect of imported goods used in the manufacture of products for which a movement certificate is issued by the customs authorities of Switzerland for the purpose of benefiting in Denmark or the United Kingdom from the tariff provisions in force in these two countries and covered by Article 3 (1) of the Agreement. This rule does not, however, apply where the goods used are those referred to in Article 25 (1) of this Protocol.","« 3. Sans préjudice des dispositions de l'article 1er du protocole nº 2, lorsqu'un certificat de circulation des marchandises est délivré par les autorités douanières de la Suisse en vue d'obtenir au Danemark ou au Royaume-Uni le bénéfice des dispositions tarifaires en vigueur dans ces deux pays et visées à l'article 3 paragraphe 1 de l'accord, les produits importés et mis en oeuvre en Suisse ne peuvent, en Suisse, faire l'objet de ristourne de droits de douane ou bénéficier d'une exonération des droits de douane, sous quelque forme que ce soit, que s'il s'agit de produits visés à l'article 25 paragraphe 1 du présent protocole."
%quot%,»;
5. Article 24 (2) : the word %quot%Norway%quot% shall be deleted from (iii) and the words %quot%five countries%quot% in (v) shall be replaced by the words %quot%six countries%quot%.,"5. à l'article 24 paragraphe 2 troisième tiret, les mots «la Norvège,» sont supprimés et, au cinquième tiret de ce même paragraphe, les mots «cinq pays» sont remplacés par les mots «six pays»;"
6. Article 25 (1) as last amended by Decision No 9/73 of the Joint Committee : the words %quot%five countries%quot% shall be replaced by the words %quot%six countries%quot% in (a) and (b)(2).,"6. à l'article 25 paragraphe 1, tel qu'il a été modifié en dernier lieu par la décision 9/73 du comité mixte, les mots «cinq autres pays» sont remplacés par les mots «six autres pays» au point a) et au point b) sous 2;"
7. Article 26 : the word %quot%Norway%quot% shall be inserted between the words %quot%Iceland%quot% and %quot%Portugal%quot%.,"7. à l'article 26, les mots «la Norvège,» sont insérés entre les mots «l'Islande,» et «le Portugal»;"
8. Article 27 (1) and (2) : the words %quot%five countries%quot% shall be replaced by the words %quot%six countries%quot%.,"8. à l'article 27 paragraphes 1 et 2, les mots «cinq pays» sont remplacés par les mots «six pays»;"
9. Annex I : the word %quot%Norway%quot% shall be deleted from Explanatory Notes 10 and 13.,"9. à l'annexe I, les mots «, en Norvège» sont supprimés dans les notes explicatives 10 et 13."
Article 5,Article 5
"Protocol No 4 : the following phrase shall be deleted : %quot%drawn up and adopted within the conference between the European Communities and the Kingdom of Denmark, Ireland, the Kingdom of Norway and the United Kingdom of Great Britain and Northern Ireland%quot%.","Dans le protocole nº 4, le membre de phrase suivant est supprimé : «établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le royaume-uni de Grande-Bretagne et d'Irlande du Nord»."
Article 6,Article 6
The following shall be deleted from the Final Act: - %quot%,"Dans l'acte final, les formules suivantes sont supprimées: - «"
SUPPLEMENTARY PROTOCOL,PROTOCOLE COMPLÉMENTAIRE
"to the additional Agreement concerning the validity, for the Principality of Liechtenstein, of the Agreement between the European Economic Community and the Swiss Confederation",à l'accord additionnel sur la validité pour la principauté de Liechtenstein de l'accord entre la Communauté économique européenne et la Confédération suisse
"THE EUROPEAN ECONOMIC COMMUNITY,","LA COMMUNAUTÉ ÉCONOMIQUE EUROPÉENNE,"
"THE SWISS CONFEDERATION,","LA CONFÉDÉRATION SUISSE,"
"THE PRINCIPALITY OF LIECHTENSTEIN,","LA PRINCIPAUTÉ DE LIECHTENSTEIN,"
HAVE AGREED to make the following amendment to their Additional Agreement of 22 July 1972:,SONT CONVENUES d'apporter la modification suivante à leur accord additionnel du 22 juillet 1972:
Article 1,Article premier
The following shall be deleted: - %quot%,Les formules suivantes sont supprimés: - «
CUSTOMS CONVENTION ON THE INTERNATIONAL TRANSPORT OF GOODS UNDER COVER OF TIR CARNETS (TIR CONVENTION),
"THE CONTRACTING PARTIES,",
"DESIRING to facilitate the international carriage of goods by road vehicle,","DESIREUSES de faciliter les transports internationaux de marchandises par véhicules routiers ,"
"CONSIDERING that the improvement of the conditions of transport constitutes one of the factors essential to the development of cooperation among them,","CONSIDERANT que l'amélioration des conditions des transports constitue un des facteurs essentiels au développement de la coopération entre elles ,"
"DECLARING themselves in favour of a simplification and a harmonization of administrative formalities in the field of international transport, in particular at frontiers,",
HAVE AGREED AS FOLLOWS:,CHAPITRE PREMIER
CHAPTER I GENERAL,DISPOSITIONS GENERALES
(a) Definitions,a ) Définitions
Article 1,Article premier
"For the purposes of this Convention: (a) the term %quot%TIR operation%quot% shall mean the transport of goods from a customs office of departure to a customs office of destination under the procedure, called the %quot%TIR procedure%quot%, laid down in this Convention;",
"(b) the term %quot%import or export duties and taxes%quot% shall mean customs duties and all other duties, taxes, fees and other charges which are collected on, or in connection with, the import or export of goods, but not including fees and charges limited in amount to the approximate cost of services rendered;","b ) par %quot% droits et taxes à l'importation ou à l'exportation %quot% , les droits de douane et tous autres droits , taxes , redevances et impositions diverses qui sont perçus à l'importation ou à l'exportation , ou à l'occasion de l'importation ou de l'exportation de marchandises , à l'exception des redevances et impositions dont le montant est limité au coût approximatif des services rendus ;"
(c) the term %quot%road vehicle%quot% shall mean not only any power-driven road vehicle but also any trailer or semi-trailer designed to be coupled thereto;,"c ) par %quot% véhicule routier %quot% , non seulement un véhicule routier à moteur , mais aussi toute remorque ou semi-remorque conçue pour y être attelée ;"
(d) the term %quot%combination of vehicles%quot% shall mean coupled vehicles which travel on the road as a unit;,"d ) par %quot% ensemble de véhicules %quot% , des véhicules couplés qui participent à la circulation routière comme une unité ;"
"(e) the term %quot%container%quot% shall mean an article of transport equipment (lift-van, movable tank or other similar structure): (i) fully or partially enclosed to constitute a compartment intended for containing goods,",
"(ii) of a permanent character and accordingly strong enough to be suitable for repeated use,","ii ) ayant un caractère permanent et étant , de ce fait , suffisamment résistant pour permettre son usage répété ,"
"(iii) specially designed to facilitate the transport of goods by one or more modes of transport without intermediate reloading,","iii ) spécialement conçu pour faciliter le transport de marchandises , sans rupture de charge , par un ou plusieurs modes de transport ,"
"(iv) designed for ready handling, particularly when being transferred from one mode of transport to another,","iv ) conçu de manière à être aisément manipulé , notamment lors de son transbordement d'un mode de transport à un autre ,"
"(v) designed to be easy to fill and to empty, and","v ) conçu de façon à être facile à remplir et à vider ,"
(vi) having an internal volume of one cubic metre or more.,
%quot%Demountable bodies%quot% are to be treated as containers;,Les %quot% carrosseries amovibles %quot% sont assimilées aux conteneurs ;
(f) the term %quot%customs office of departure%quot% shall mean any customs office of a Contracting Party where the international transport of a load or part-load of goods under the TIR procedure begins;,"f ) par %quot% bureau de douane de départ %quot% , tout bureau de douane d'une partie contractante où commence , pour tout ou partie du chargement , le transport international , sous le régime TIR ;"
(g) the term %quot%customs office of destination%quot% shall mean any customs office of a Contracting Party where the international transport of a load or part-load of goods under the TIR procedure ends;,"g ) par %quot% bureau de douane de destination %quot% , tout bureau de douane d'une partie contractante où prend fin , pour tout ou partie du chargement , le transport international sous le régime TIR ;"
"(h) the term %quot%customs office en route%quot% shall mean any customs office of a Contracting Party through which a road vehicle, combination of vehicles or container is imported or exported in the course of a TIR operation;","h ) par %quot% bureau de douane de passage %quot% , tout bureau de douane d'une partie contractante par lequel un véhicule routier , un ensemble de véhicules ou un conteneur est importé ou exporté au cours d'une opération TIR ;"
(j) the term %quot%person%quot% shall mean both natural and legal persons;,"j ) par %quot% personnes %quot% , à la fois les personnes physiques et les personnes morales ;"
"(k) the term %quot%heavy or bulky goods%quot% shall mean any heavy or bulky object which because of its weight, size or nature is not normally carried in a closed road vehicle or closed container;","k ) par %quot% marchandises pondéreuses ou volumineuses %quot% , tout produit pondéreux ou volumineux qui , en raison de son poids , de ses dimensions ou de sa nature , n'est en général transporté ni dans un véhicule routier clos ni dans un conteneur clos ;"
(l) the term %quot%guaranteeing association%quot% shall mean an association approved by the customs authorities of a Contracting Party to act as surety for persons using the TIR procedure.,"l ) par %quot% association garante %quot% , une association agréée par les autorités douanières d'une partie contractante pour se porter caution des personnes qui utilisent le régime TIR ."
(b) Scope,b ) Champ d'application
Article 2,Article 2
"This Convention shall apply to the transport of goods without intermediate reloading, in road vehicles, combinations of vehicles or in containers, across one or more frontiers between a customs office of departure of one Contracting Party and a customs office of destination of another or of the same Contracting Party, provided that some portion of the journey between the beginning and the end of the TIR operation is made by road.",
Article 3,Pour bénéficier des dispositions de la présente convention :
"For the provisions of this Convention to become applicable: (a) the transport operations must be performed: (i) by means of road vehicles, combinations of vehicles or containers previously approved under the conditions set forth in Chapter III (a), or",
